Identifikasjonsnr,Objekttype,Beskrivende datering,Ervervelse
NG.K&H.B.15033VERSO,Billedkunst,Siste halvdel av 1500-tallet,Ervervelsesopplysninger under arbeid
NG.K&H.B.15034,Billedkunst,Antagelig begynnelsen av 1600-tallet,Gave fra Ludvig Malthe 1894
NG.K&H.B.15035,Billedkunst,Mellom 1610 og 1630,Kjøpt av Cathrine Dahl 1893
NG.K&H.B.15036,Billedkunst,Mellom 1610 og 1630,Kjøpt av Cathrine Dahl 1893
NG.K&H.B.15037,Billedkunst,Mellom 1610 og 1630,Kjøpt av Cathrine Dahl 1893
NG.K&H.B.15038,Billedkunst,Antagelig begynnelsen av 1700-tallet,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15039,Billedkunst,Siste halvdel av 1500-tallet,Ervervelsesopplysninger under arbeid
NG.K&H.B.15040,Billedkunst,Mellom 1617 og 1621,Kjøpt fra Siegwald Dahls dødsbo 1902
NG.K&H.B.15040VERSO,Billedkunst,Ca. 1620,Kjøpt fra Siegwald Dahls dødsbo 1902
NG.K&H.B.15041,Billedkunst,Mellom ca. 1620 og 1650,Ervervelsesopplysninger under arbeid
NG.K&H.B.15042,Billedkunst,Ca. 1600,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15043,Billedkunst,Mellom ca. 1560 og 1585,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15044,Billedkunst,Mellom ca. 1560 og 1585,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15045,Billedkunst,Mellom ca. 1560 og 1585,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15046,Billedkunst,Antagelig mellom 1570 og 1600,"Gave fra Ludvig Malthe, år ukjent"
NG.K&H.B.15047,Billedkunst,Mellom ca. 1560 og 1585,"Gave fra Ludvig Malthe, år ukjent"
NG.K&H.B.15048,Billedkunst,Antagelig mellom 1550 og 1585,"Testamentarisk gave fra Sophus Larpent, innkommet 1914 "
NG.K&H.B.15049,Billedkunst,Mellom 1800 og 1804,"Testamentarisk gave fra Sophus Larpent, innkommet 1914"
NG.K&H.B.15050,Billedkunst,Før 1527,Gave fra Ludvig Malthe 1894
NG.K&H.B.15051,Billedkunst,Antagelig siste halvdel av 1600-tallet,Solgt av Cathrine Dahl 1893
NG.K&H.B.15052,Billedkunst,Antagelig ca. 1650,Kjøpt fra Siegwald Dahls dødsbo 1903  
NG.K&H.B.15053,Billedkunst,,Kjøpt av Sophus Larpent 1894
NG.K&H.B.15054,Billedkunst,Antagelig melom 1630 og 1660,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15055,Billedkunst,Antagelig ca. 1700,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15056,Billedkunst,Antagelig ca. 1650,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15056VERSO,Billedkunst,,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15057,Billedkunst,Antagelig ca. 1700,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15058,Billedkunst,Antagelig mellom 1670 og 1688,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15059,Billedkunst,Antagelig mellom 1670 og 1688,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15060,Billedkunst,Antgelig ca. 1600,Kjøpt fra Siegwald Dahls dødsbo 1903
NG.K&H.B.15061,Billedkunst,Antagelig mellom 1750 og 1785,"Gave fra Ludvig Malthe, år ukjent"
NG.K&H.B.15062,Billedkunst,Antagelig mellom 1750 og 1785,"Gave fra Ludvig Malthe, år ukjent"
NG.K&H.B.15063,Billedkunst,Antagelig sisste halvdel av 1500-tallet,Kjøpt fra Siegwald Dahls dødsbo 1903
