INTVENTARNUMMER,Fornavn kunstner,Etternavn kunstner,FØDT,DØD,FØDESTED,DØDSSTED,Koordinat fødested,Koordinat dødssted,Nasjonalitet kunstner,Kjønn kunstner,Yrke kunstner,Navn produsent,Nasjonalitet produsent,Produsent etablert,Bransje produsent,BETEGNELSE,Presisert betegnelse,EMNEORD,FARGE,Produksjonssted,Koordinat produksjonssted,Produsert fra dato,Produsert til dato,Aksesjon fra dato,Aksesjon til dato
DEP00009-1989,Jakob,Weidemann,1923,2001,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1945,1945,,
DEP00010-1989,Jakob,Weidemann,1923,2001,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,,,,
DEP00011-1989,Jakob,Weidemann,1923,2001,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1948,1948,,
DEP00012-1989,Jakob,Weidemann,1923,2001,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1949,1949,,
DEP00013-1989,Jakob,Weidemann,1923,2001,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,,,,
DEP00014-1989,Jakob,Weidemann,1923,2001,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,,,,
DEP00015-1989,Jakob,Weidemann,1923,2001,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1961,1961,,
DEP00017-1988,Ronald Brooks,Kitaj,1932,,,,,,,Mann,,,,,,Maleri,,Bildende kunst,,,,,,1985,1985
DEP00018-1990,Jens,Johannessen,1934,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,,,,
DEP00019-1990,James,Rosenquist,1933,,,,,,USA,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
DEP00020-1990,James,Rosenquist,1933,,,,,,USA,Mann,,,,,,Grafikk,,Bildende kunst,,,,,,,
DEP00021-1990,Sol,LeWitt,1928,,,,,,USA,,,,,,,Maleri,,Bildende kunst,,,,1985,1985,,
DEP00022-1990,Sol,LeWitt,1928,,,,,,USA,,,,,,,Maleri,,Bildende kunst,,,,1985,1985,,
DEP00023-1990,Sol,LeWitt,1928,,,,,,USA,,,,,,,Maleri,,Bildende kunst,,,,1986,1986,,
DEP00024-1990,Sol,LeWitt,1928,,,,,,USA,,,,,,,Maleri,,Bildende kunst,,,,1985,1985,,
DEP00025-1990,Sol,LeWitt,1928,,,,,,USA,,,,,,,Maleri,,Bildende kunst,,,,1986,1986,,
DEP00026-1990,Sol,LeWitt,1928,,,,,,USA,,,,,,,Maleri,,Bildende kunst,,,,1986,1986,,
DEP00027-1990,Jürgen,Wenzel,1950,,,,,,Tyskland,Mann,,,,,,Maleri,,Bildende kunst,,,,1990,1990,,
DEP00028-1990,Jürgen,Wenzel,1950,,,,,,Tyskland,Mann,,,,,,Maleri,,Bildende kunst,,,,1990,1990,,
DEP00029-1990,Stefan,Plenkers,1945,,,,,,Tyskland,Mann,,,,,,Maleri,,Bildende kunst,,,,1988,1988,,
DEP00030-1990,Stefan,Plenkers,1945,,,,,,Tyskland,Mann,,,,,,Maleri,,Bildende kunst,,,,1989,1989,,
DEP00031-1990,Antoni,Tàpies,1923,,Barcelona (Spania),,,,Spania,Mann,,,,,,Maleri,,Bildende kunst,,,,1985,1985,,
DEP00032-1991,Paul,Brand,1941,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,1988,1988,,
DEP00033-1990,Bjørn,Carlsen,1945,,,,,,Norge,Mann,Billedkunstner,,,,,Maleri,,Bildende kunst,,,,,,,
DEP00034-1991,Bernd,Koberling,1938,,,,,,Tyskland,Mann,,,,,,Maleri,,Bildende kunst,,,,1988,1988,,
DEP00035-1990,Joachim,Bandau,1936,,,,,,Tyskland,Mann,,,,,,Skulptur,,Bildende kunst,,,,1982,1982,,
DEP00036-1990,Joachim,Bandau,1936,,,,,,Tyskland,Mann,,,,,,Maleri,,Bildende kunst,,,,1983,1983,,
