id,artistId,produced,acquired,kind,imageCount
MS-00339-1988,235,1976,1988,Maleri,1
MS-00340-1988,236,1968,1988,Maleri,3
MS-00341-1988,237,1959,1988,Maleri,1
MS-00342-1988,238,1952,1988,Maleri,1
MS-00343-1988,208,1968,1988,Maleri,1
MS-00344-1988,239,1977,1988,Maleri,3
MS-00345-1988,99,1968,1988,Maleri,1
MS-00346-1988,240,1953,1988,Grafikk,1
MS-00347-1988,200,1974,1988,Grafikk,1
MS-00348-1988,241,1955,1988,Grafikk,1
MS-00349-1988,242,1971,1988,Grafikk,1
MS-00350-1988,243,1976,1988,Grafikk,1
MS-00351-1988,244,1956,1988,Grafikk,1
MS-00352-1988,237,1958,1988,Grafikk,1
MS-00353-1988,245,1974,1988,Maleri,1
MS-00354-1988,246,1973,1988,Skulptur,1
MS-00355-1988,172,1973,1988,Skulptur,1
MS-00356-1988,247,1975,1988,Skulptur,1
MS-00357-1988,248,1954,1988,Skulptur,1
MS-00358-1988,249,1986,1988,Tegning,1
MS-00359-1988,250,1987,1988,Grafikk,1
MS-00360-1988,251,1988,1988,Skulptur,1
MS-00361-1988,252,1982,1988,Skulptur,1
MS-00362-1988,253,1986,1988,Maleri,1
MS-00363-1988,254,1980,1988,Skulptur,1
MS-00364-1988,197,1987,1988,Skulptur,1
MS-00365-1988,255,1983,1988,Skulptur,1
MS-00366-1988,66,1981,1988,Skulptur,1
MS-00367-1988,256,1982,1988,Skulptur,1
MS-00369-1988,257,1984,1988,Skulptur,1
MS-00370-1988,258,1987,1988,Skulptur,1
MS-00371-1988,258,1986,1988,Skulptur,1
MS-00372-1988,259,1967,1988,Materialbilde,1
MS-00373-1988,260,1988,1988,Skulptur,1
MS-00374-1988,261,1988,1988,Skulptur,1
MS-00375-1988,262,1988,1988,Skulptur,1
MS-00376-1988,263,1979,1988,Skulptur,1
MS-00377-1988,111,1986,1988,Maleri,1
MS-00378-1988,264,1972,1988,Skulptur,1
MS-00379-1988,190,1967,1988,Skulptur,1
MS-00380-1988,265,1986,1988,Skulptur,1
MS-00381-1988,266,1965,1988,Skulptur,1
MS-00382-1988,251,1982,1988,Skulptur,1
MS-00383-1988,267,1951,1988,Skulptur,1
MS-00384-1988,268,1972,1988,Skulptur,1
MS-00385-1988,269,1975,1988,Tegning,1
MS-00386-1988,196,1984,1988,Skulptur,1
MS-00387-1988,196,1984,1988,Skulptur,1
MS-00388-1988,270,1985,1988,Skulptur,1
MS-00389-1988,271,1977,1988,Skulptur,1
MS-00390-1988,267,1966,1988,Skulptur,1
MS-00391-1988,272,1983,1988,Skulptur,1
MS-00392-1988,273,1987,1988,Skulptur,1
MS-00393-1988,274,1985,1988,Skulptur,1
MS-00394-1988,275,1964,1976,Skulptur,4
MS-00395-1988,190,1980,1988,Skulptur,1
MS-00396-1988,261,1988,1988,Skulptur,1
MS-00397-1988,177,1985,1988,Skulptur,1
MS-00398-1988,198,1980,1988,Skulptur,1
MS-00399-1988,225,1986,1988,Materialbilde,1
MS-00400-1988,276,1986,1988,Maleri,1
MS-00401-1988,27,1984,1988,Tegning,1
MS-00402-1988,113,1983,1988,Maleri,1
MS-00403-1988,68,1984,1988,Maleri,1
MS-00404-1988,72,1982,1988,Grafikk,1
MS-00405-1988,31,1973,1988,Maleri,1
MS-00406-1988,247,1982,1988,Skulptur,1
MS-00407-1988,277,1979,1988,Skulptur,1
MS-00408-1988,187,1955,1988,Skulptur,1
MS-00409-1988,99,1988,1988,Tegning,1
MS-00410-1988,278,1985,1988,Maleri,1
MS-00411-1988,3,1988,1988,Maleri,2
MS-00412-1988,279,1981,1988,Skulptur,1
MS-00417-1988,42,1974,1988,Maleri,1
MS-00418-1988,143,1980,1988,Maleri,1
MS-00419-1988,280,1985,1988,Maleri,1
MS-00420-1988,281,1979,1988,Skulptur,1
MS-00421-1988,6,1988,1988,Maleri,1
MS-00422-1988,119,1978,1988,Maleri,1
MS-00423-1988,42,1976,1988,Maleri,3
MS-00424-1988,238,1973,1988,Maleri,1
